2023,,Time,Height,H/L
,11,03:07,0.7 m,L
,,10:39,2.3 m,H
,,15:35,1.7 m,L
,,21:16,2.4 m,H
,12,04:00,0.6 m,L
,,11:03,2.4 m,H
,,16:07,1.5 m,L
,,22:00,2.5 m,H
,13,04:33,0.5 m,L
,,11:20,2.4 m,H
,,16:31,1.3 m,L
,,22:33,2.7 m,H
,14,05:03,0.5 m,L
,,11:33,2.5 m,H
,,17:00,1.1 m,L
,,23:03,2.8 m,H
,15,05:31,0.5 m,L
,,11:46,2.6 m,H
,,17:30,0.9 m,L
,,23:31,2.9 m,H
,16,06:01,0.5 m,L
,,12:01,2.7 m,H
,,18:00,0.8 m,L
,17,00:01,2.9 m,H
,,06:30,0.6 m,L
,,12:20,2.7 m,H
,,18:31,0.7 m,L
,18,00:33,2.9 m,H
,,06:56,0.7 m,L
,,12:43,2.8 m,H
,,19:01,0.6 m,L
,19,01:07,2.8 m,H
,,07:20,0.8 m,L
,,13:09,2.8 m,H
,,19:33,0.5 m,L
,20,01:45,2.7 m,H
,,07:43,1.0 m,L
,,13:35,2.8 m,H
,,20:05,0.5 m,L
,21,02:28,2.5 m,H
,,08:09,1.1 m,L
,,14:05,2.8 m,H
,,20:45,0.5 m,L
,22,03:28,2.3 m,H
,,08:39,1.4 m,L
,,14:41,2.7 m,H
,,21:45,0.6 m,L
,23,04:50,2.1 m,H
,,09:24,1.6 m,L
,,15:28,2.6 m,H
,,23:11,0.7 m,L
,24,07:07,2.0 m,H
,,10:56,1.8 m,L
,,16:43,2.4 m,H
,25,00:46,0.7 m,L
,,08:54,2.2 m,H
,,13:22,1.8 m,L
,,18:54,2.4 m,H
,26,02:15,0.5 m,L
,,09:46,2.4 m,H
,,15:00,1.6 m,L
,,20:37,2.6 m,H
,27,03:20,0.4 m,L
,,10:24,2.6 m,H
,,15:50,1.4 m,L
,,21:33,2.9 m,H
,28,04:11,0.3 m,L
,,10:50,2.7 m,H
,,16:28,1.1 m,L
,,22:20,3.1 m,H
,29,04:54,0.3 m,L
,,11:11,2.8 m,H
,,17:05,0.8 m,L
,,23:05,3.3 m,H
,30,05:39,0.3 m,L
,,11:33,2.9 m,H
,,17:45,0.6 m,L
,,23:50,3.3 m,H
Oct,1,06:20,0.5 m,L
,,12:01,3.0 m,H
,,18:22,0.4 m,L
,2,00:41,3.2 m,H
,,07:01,0.7 m,L
,,12:31,3.0 m,H
,,19:01,0.3 m,L
,3,01:35,3.0 m,H
,,07:39,1.0 m,L
,,13:03,3.0 m,H
,,19:41,0.3 m,L
,4,02:31,2.8 m,H
,,08:11,1.2 m,L
,,13:33,2.9 m,H
,,20:22,0.3 m,L
,5,03:24,2.6 m,H
,,08:39,1.5 m,L
,,14:03,2.8 m,H
,,21:09,0.5 m,L
,6,04:22,2.3 m,H
,,09:07,1.7 m,L
,,14:35,2.7 m,H
,,22:09,0.7 m,L
,7,05:43,2.1 m,H
,,09:48,1.8 m,L
,,15:11,2.5 m,H
,,23:31,0.9 m,L
,8,08:16,2.1 m,H
,,11:18,2.0 m,H
,,16:24,2.2 m,H
,9,01:07,0.9 m,L
,,09:26,2.2 m,H
,,13:39,1.9 m,L
,,19:33,2.2 m,H
,10,02:37,0.9 m,L
,,09:56,2.3 m,H
,,15:22,1.7 m,L
,,21:00,2.3 m,H
,11,03:31,0.8 m,L
,,10:16,2.4 m,H
,,15:48,1.4 m,L
,,21:43,2.5 m,H
,12,04:07,0.8 m,L
,,10:31,2.5 m,H
,,16:13,1.2 m,L
,,22:16,2.7 m,H
,13,04:37,0.7 m,L
,,10:45,2.6 m,H
,,16:39,1.0 m,L
,,22:46,2.8 m,H
,14,05:07,0.8 m,L
,,10:56,2.8 m,H
,,17:07,0.8 m,L
,,23:16,2.9 m,H
,15,05:33,0.8 m,L
,,11:15,2.9 m,H
,,17:33,0.6 m,L
,,23:46,2.9 m,H
,16,06:00,0.9 m,L
,,11:37,2.9 m,H
,,18:01,0.5 m,L
,17,00:22,2.9 m,H
,,06:26,1.0 m,L
,,12:03,3.0 m,H
,,18:31,0.4 m,L
,18,01:01,2.8 m,H
,,06:54,1.2 m,L
,,12:31,3.0 m,H
,,19:03,0.4 m,L
,19,01:46,2.7 m,H
,,07:22,1.3 m,L
,,13:03,3.0 m,H
,,19:39,0.4 m,L
,20,02:41,2.6 m,H
,,07:54,1.5 m,L
,,13:37,2.9 m,H
,,20:26,0.5 m,L
,21,03:48,2.4 m,H
,,08:33,1.7 m,L
,,14:16,2.8 m,H
,,21:28,0.6 m,L
,22,05:11,2.3 m,H
,,09:31,1.8 m,L
,,15:11,2.7 m,H
,,22:58,0.7 m,L
,23,06:56,2.3 m,H
,,11:20,1.9 m,L
,,16:41,2.5 m,H
,24,00:31,0.8 m,L
,,08:16,2.4 m,H
,,13:26,1.8 m,L
,,18:56,2.5 m,H
,25,02:01,0.7 m,L
,,09:05,2.6 m,H
,,14:45,1.5 m,L
,,20:24,2.7 m,H
,26,03:05,0.7 m,L
,,09:37,2.7 m,H
,,15:31,1.2 m,L
,,21:24,2.9 m,H
,27,03:52,0.6 m,L
,,10:00,2.8 m,H
,,16:09,0.9 m,L
,,22:13,3.1 m,H
,28,04:35,0.7 m,L
,,10:24,3.0 m,H
,,16:45,0.6 m,L
,,23:01,3.2 m,H
,29,05:15,0.8 m,L
,,10:50,3.0 m,H
,,17:20,0.4 m,L
,,23:52,3.2 m,H
,30,05:54,1.0 m,L
,,11:20,3.1 m,H
,,17:56,0.3 m,L
,31,00:45,3.1 m,H
,,06:31,1.2 m,L
,,11:54,3.1 m,H
,,18:33,0.3 m,L
Nov,1,01:37,3.0 m,H
,,07:07,1.4 m,L
,,12:28,3.1 m,H
,,19:11,0.3 m,L
,2,02:26,2.8 m,H
,,07:39,1.6 m,L
,,13:01,3.0 m,H
,,19:52,0.4 m,L
,3,03:13,2.6 m,H
,,08:09,1.7 m,L
,,13:33,2.9 m,H
,,20:39,0.6 m,L
,4,04:01,2.4 m,H
,,08:43,1.8 m,L
,,14:09,2.7 m,H
,,21:35,0.8 m,L
,5,05:01,2.3 m,H
,,09:26,1.9 m,L
,,14:50,2.5 m,H
,,22:45,1.0 m,L
,6,06:46,2.2 m,H
,,10:39,2.0 m,H
,,16:03,2.3 m,H
,7,00:09,1.1 m,L
,,08:03,2.2 m,H
,,12:33,1.9 m,L
,,18:03,2.2 m,H
,8,01:37,1.2 m,L
,,08:45,2.3 m,H
,,14:20,1.7 m,L
,,20:07,2.3 m,H
,9,02:43,1.1 m,L
,,09:11,2.5 m,H
,,15:09,1.4 m,L
,,21:09,2.5 m,H
,10,03:28,1.1 m,L
,,09:30,2.6 m,H
,,15:43,1.2 m,L
,,21:54,2.6 m,H
,11,04:03,1.1 m,L
,,09:48,2.8 m,H
,,16:11,0.9 m,L
,,22:33,2.8 m,H
,12,04:33,1.2 m,L
,,10:09,2.9 m,H
,,16:35,0.7 m,L
,,23:11,2.8 m,H
,13,05:00,1.2 m,L
,,10:33,3.0 m,H
,,17:01,0.5 m,L
,,23:50,2.9 m,H
,14,05:26,1.3 m,L
,,11:00,3.1 m,H
,,17:31,0.4 m,L
,15,00:33,2.9 m,H
,,05:58,1.5 m,L
,,11:31,3.1 m,H
,,18:05,0.3 m,L
,16,01:20,2.8 m,H
,,06:33,1.6 m,L
,,12:05,3.2 m,H
,,18:45,0.3 m,L
,17,02:11,2.8 m,H
,,07:13,1.7 m,L
,,12:43,3.1 m,H
,,19:30,0.3 m,L
,18,03:01,2.7 m,H
,,07:56,1.8 m,L
,,13:24,3.1 m,H
,,20:24,0.4 m,L
,19,04:00,2.6 m,H
,,08:46,1.9 m,L
,,14:15,2.9 m,H
,,21:30,0.6 m,L
,20,05:05,2.5 m,H
,,09:56,1.9 m,L
,,15:20,2.8 m,H
,,22:43,0.7 m,L
,21,06:16,2.5 m,H
,,11:20,1.9 m,L
,,16:48,2.6 m,H
,22,00:03,0.9 m,L
,,07:18,2.6 m,H
,,13:00,1.7 m,L
,,18:39,2.6 m,H
,23,01:26,1.0 m,L
,,08:07,2.7 m,H
,,14:16,1.4 m,L
,,20:07,2.7 m,H
,24,02:33,1.0 m,L
,,08:43,2.8 m,H
,,15:07,1.1 m,L
,,21:16,2.8 m,H
,25,03:26,1.1 m,L
,,09:15,2.9 m,H
,,15:48,0.8 m,L
,,22:16,2.9 m,H
,26,04:09,1.2 m,L
,,09:45,3.0 m,H
,,16:26,0.6 m,L
,,23:11,3.0 m,H
,27,04:48,1.4 m,L
,,10:16,3.1 m,H
,,17:00,0.4 m,L
,28,00:01,3.0 m,H
,,05:28,1.5 m,L
,,10:52,3.2 m,H
,,17:35,0.3 m,L
,29,00:48,3.0 m,H
,,06:05,1.6 m,L
,,11:30,3.2 m,H
,,18:13,0.3 m,L
,30,01:33,2.9 m,H
,,06:43,1.7 m,L
,,12:07,3.1 m,H
,,18:52,0.4 m,L
Dec,1,02:16,2.8 m,H
,,07:16,1.8 m,L
,,12:46,3.1 m,H
,,19:33,0.5 m,L
,2,02:58,2.7 m,H
,,07:52,1.8 m,L
,,13:24,3.0 m,H
,,20:16,0.6 m,L
,3,03:39,2.6 m,H
,,08:28,1.8 m,L
,,14:01,2.8 m,H
,,21:03,0.8 m,L
,4,04:20,2.5 m,H
,,09:09,1.9 m,L
,,14:43,2.7 m,H
,,21:56,1.0 m,L
,5,05:07,2.4 m,H
,,10:03,1.9 m,L
,,15:35,2.5 m,H
,,22:56,1.2 m,L
,6,06:00,2.4 m,H
,,11:16,1.8 m,L
,,16:52,2.3 m,H
,7,00:05,1.3 m,L
,,06:52,2.4 m,H
,,12:52,1.7 m,L
,,18:39,2.2 m,H
,8,01:18,1.4 m,L
,,07:39,2.5 m,H
,,14:13,1.4 m,L
,,20:18,2.3 m,H
,9,02:20,1.5 m,L
,,08:18,2.7 m,H
,,15:01,1.2 m,L
,,21:31,2.5 m,H
,10,03:09,1.5 m,L
,,08:52,2.8 m,H
,,15:37,0.9 m,L
,,22:28,2.6 m,H
,11,03:46,1.6 m,L
,,09:26,2.9 m,H
,,16:05,0.7 m,L
,,23:15,2.7 m,H
,12,04:20,1.6 m,L
,,09:58,3.0 m,H
,,16:35,0.5 m,L
,13,00:00,2.8 m,H
,,04:56,1.7 m,L
,,10:33,3.1 m,H
,,17:11,0.3 m,L
,14,00:45,2.9 m,H
,,05:37,1.8 m,L
,,11:13,3.2 m,H
,,17:52,0.3 m,L
,15,01:31,2.9 m,H
,,06:22,1.8 m,L
,,11:54,3.2 m,H
,,18:39,0.2 m,L
,16,02:16,2.9 m,H
,,07:11,1.8 m,L
,,12:39,3.2 m,H
,,19:30,0.3 m,L
,17,03:03,2.9 m,H
,,08:01,1.8 m,L
,,13:28,3.2 m,H
,,20:26,0.4 m,L
,18,03:50,2.8 m,H
,,08:54,1.8 m,L
,,14:22,3.1 m,H
,,21:22,0.6 m,L
,19,04:37,2.8 m,H
,,09:50,1.7 m,L
,,15:22,2.9 m,H
,,22:20,0.8 m,L
,20,05:24,2.7 m,H
,,10:56,1.6 m,L
,,16:39,2.7 m,H
,,23:24,1.0 m,L
,21,06:13,2.7 m,H
,,12:15,1.5 m,L
,,18:15,2.6 m,H
,22,00:35,1.3 m,L
,,07:00,2.8 m,H
,,13:35,1.2 m,L
,,19:54,2.5 m,H
,23,01:48,1.5 m,L
,,07:46,2.8 m,H
,,14:39,1.0 m,L
,,21:24,2.6 m,H
,24,02:50,1.6 m,L
,,08:31,2.9 m,H
,,15:30,0.7 m,L
,,22:31,2.7 m,H
,25,03:43,1.7 m,L
,,09:15,3.0 m,H
,,16:11,0.5 m,L
,,23:26,2.8 m,H
,26,04:28,1.8 m,L
,,09:58,3.0 m,H
,,16:48,0.4 m,L
,27,00:11,2.8 m,H
,,05:09,1.8 m,L
,,10:41,3.1 m,H
,,17:26,0.4 m,L
,28,00:50,2.8 m,H
,,05:46,1.8 m,L
,,11:22,3.1 m,H
,,18:03,0.4 m,L
,29,01:26,2.8 m,H
,,06:22,1.8 m,L
,,12:01,3.1 m,H
,,18:43,0.5 m,L
,30,02:01,2.8 m,H
,,06:58,1.7 m,L
,,12:39,3.1 m,H
,,19:24,0.5 m,L
,31,02:33,2.7 m,H
,,07:33,1.7 m,L
,,13:15,3.0 m,H
,,20:03,0.6 m,L
